Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
January,471616706.29977706,358900820.135999,95313248.13599995,96274285.71428576,16441600.449491345,471616706.29977706,358900820.135999,95313248.13599995,96274285.71428576,16441600.449491345 
July,696433429.2281239,358900820.135999,95313248.13599995,40114285.7142857,297418323.3778367,696433429.2281239,358900820.135999,95313248.13599995,40114285.7142857,297418323.3778367 
