Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
January,471618136.13769957,358900820.135999,95313248.13599995,96274285.71428576,16443030.28741333,471618136.13769957,358900820.135999,95313248.13599995,96274285.71428576,16443030.28741333 
July,696406891.5925019,358900820.135999,95313248.13599995,40114285.7142857,297391785.7422147,696406891.5925019,358900820.135999,95313248.13599995,40114285.7142857,297391785.7422147 
